path,mean,std
aerialb.tif,76.54948,16.48956
aerialg.tif,82.39802,21.020481
aerialnir.tif,150.30098,29.934643
aerialr.tif,69.39445,25.197832
dem.tif,745.1345,51.332314
ep_101x101.tif,49.81568,20.325603
ep_11x11.tif,49.069164,11.30981
ep_201x201.tif,49.889465,22.810753
ep_21x21.tif,49.477654,12.945154
ep_51x51.tif,49.70108,16.987928
ep_5x5.tif,47.311897,10.8469305
plancurv.tif,0.09026267,1.4027145
plancurv_10.tif,0.044694133,3.7398648
plancurv_100.tif,0.24133591,4.6825275
plancurv_20.tif,0.05032342,3.6396592
plancurv_200.tif,0.22865716,4.127846
plancurv_50.tif,0.113589466,3.1950438
procurv.tif,0.038056985,0.58295
procurv_10.tif,0.04849994,1.7534698
procurv_100.tif,-0.36030725,1.9767153
procurv_20.tif,-0.04330756,1.5090358
procurv_200.tif,-0.23775904,1.2959036
procurv_50.tif,-0.11409669,1.0344205
slope.tif,6.385454,4.6716957
slope_10.tif,5.6214542,4.2196774
slope_100.tif,2.803181,2.2348166
slope_20.tif,5.0789304,3.8268738
slope_200.tif,1.787336,1.3233867
slope_50.tif,3.8952684,3.0635273
stdslope_101x101.tif,3.383539,1.7344099
stdslope_11x11.tif,1.8689971,1.5832498
stdslope_201x201.tif,3.7012212,1.6386101
stdslope_21x21.tif,2.346858,1.7174801
stdslope_51x51.tif,2.9808881,1.7787758
stdslope_5x5.tif,1.3219874,1.3039421
