path,mean,std
aerialr.tif,81.635376,29.104343
aerialg.tif,81.468346,24.128288
aerialb.tif,73.767845,20.552225
aerialnir.tif,104.47313,26.998446
dem.tif,579.342,19.271994
ep_5x5.tif,47.133644,9.247673
ep_11x11.tif,48.972965,10.820556
ep_21x21.tif,49.446686,12.423481
ep_51x51.tif,49.734818,15.858111
ep_101x101.tif,49.867786,18.865368
ep_201x201.tif,49.945988,20.772898
plancurv.tif,-23.158546,192.8339
plancurv_10.tif,-23.178556,195.19098
plancurv_20.tif,-23.173965,195.0951
plancurv_50.tif,-23.156387,194.65486
plancurv_100.tif,-23.03602,195.95517
plancurv_200.tif,-22.992685,194.83672
procurv.tif,-23.197985,192.13205
procurv_10.tif,-23.13429,193.18034
procurv_20.tif,-23.183807,192.91801
procurv_50.tif,-23.249954,192.45978
procurv_100.tif,-23.37106,193.16574
procurv_200.tif,-23.360588,192.42555
slope.tif,5.4884286,3.3819737
slope_10.tif,4.8395834,2.9284377
slope_20.tif,4.4569993,2.540309
slope_50.tif,3.5867863,1.8472754
slope_100.tif,2.7482827,1.2390385
slope_200.tif,0.7878073,4.6952367
stdslope_5x5.tif,1.2557548,1.1629242
stdslope_11x11.tif,1.7801912,1.4241931
stdslope_21x21.tif,2.234813,1.5089964
stdslope_51x51.tif,2.8648326,1.4172713
stdslope_101x101.tif,3.3339846,1.1879456
stdslope_201x201.tif,3.784455,0.83657104
